body,date,retweets,favorites,mentions,hashtags,geo
Jajaja jodido #Deadpool https:// twitter.com/Kettlin_P/stat us/690521553558175744 …,2016-02-21 18:58:22,0,0,,#Deadpool,
Deadpool es un hombre indigado porque le quemaron la cara experimentando y al final de la película se quita la máscara ante su fémina,2016-02-21 18:58:22,0,4,,,
"qnd fui ver deadpool no cinema, eu sai da sessão pedindo a morte do Colossus PELO AMOR DE DEUS MATEM ELE NO 2 PQP",2016-02-21 18:58:21,0,0,,,
Box Office: ' Deadpool ' Lording Over 'Risen' and 'The Witch' for $55M Weekend http:// feedproxy.google.com/~r/thr/news/~3 /i0LEEPeWqnE/box-office-deadpool-lording-risen-867682?8RP2Q … pic.twitter.com/uwwukzib4q,2016-02-21 18:58:19,0,0,,,
". @RyanReynolds WAIT A MINUTE YOU'RE NOT DEADPOOL . but still if you want to see some improv, stop on by.",2016-02-21 18:58:18,0,3,@RyanReynolds,,
No me gusta deadpool #TeamCap,2016-02-21 18:58:17,0,0,,#TeamCap,
Llevenme a ver deadpool,2016-02-21 18:58:16,0,0,,,
I want to go see Deadpool this upcoming week!!!! I'm not playing games,2016-02-21 18:58:10,0,1,,,
' Deadpool ': Chris Evans y Robert Downey Jr. se pelean por Ryan Reynolds en Twitter http:// dlvr.it/KZPRXF,2016-02-21 18:58:09,0,0,,,
pic.twitter.com/sQ8l0k98iZ Install #WordPress on VPS in a click http:// goo.gl/AGd1wt #tools #fiverr Deadpool Hosting ‘SNL’? Fans Petition…,2016-02-21 18:58:07,0,1,,#WordPress #tools #fiverr,
"Just saw #deadpool , so good! @VancityReynolds was fantastic, best acting!",2016-02-21 18:58:07,0,1,@VancityReynolds,#deadpool,
@joshuajuran I figure it's worth the extra $7 to see Deadpool at the most epic I can. I've been waiting since the script leak for this film,2016-02-21 18:58:04,0,0,@joshuajuran,,
Enjoyed Deadpool way more than expected,2016-02-21 18:58:04,0,0,,,
Me ha gustado un vídeo de @YouTube de @maximilian_ ( http:// youtu.be/vxVS6_1WLgU?a - Let's Go Deadpool - MARVEL VS. CAPCOM 3: Fate of Two,2016-02-21 18:58:04,0,0,@YouTube @maximilian_,,
how many days will Canadian national news report on the stupid fuckin deadpool petition,2016-02-21 18:58:03,0,6,,,
