0,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
westown movies newsletter happy death day foreigner open sandlot charity,0.3818,0.224,0.374,0.402
planning streaming saturday might go see friday,0.0,0.0,0.0,1.0
bad happy death day naman ang e,-0.5719,0.525,0.262,0.213
semoga happy death day ni ado lagi la time habis exam huhu,-0.0516,0.222,0.21,0.568
na exite ako sa bad genius happy death day,-0.5719,0.433,0.216,0.351
next adalah bisik pada happy death day satu minggu satu,-0.0516,0.25,0.237,0.513
happy death day,-0.0516,0.453,0.43,0.116
tapahtui katso video tulossa,0.0,0.0,0.0,1.0
happy death day arat na,-0.0516,0.368,0.349,0.283
boringnya nak tengok happy death day jugak,-0.0516,0.31,0.294,0.397
happy death day shocktober movie review via,-0.0516,0.31,0.294,0.397
everyone go see happy death day soooo good,0.4019,0.252,0.426,0.323
ok bg rating sikit,0.296,0.0,0.423,0.577
watched happy death day recommendation turned quite good,0.4576,0.247,0.436,0.317
neutral,0.0,0.0,0.0,1.0
thank new memories heart carter,0.3612,0.0,0.385,0.615
sobrang ganda ng happy death day,-0.0516,0.336,0.319,0.345
happy death day im,-0.0516,0.406,0.385,0.208
hiduplah seolah tak ada hari happy death day,-0.0516,0.287,0.272,0.441
badly want watch happy death day,-0.4588,0.5,0.357,0.143
hala sirrrrrr huhu mi naka watch kay naay lakaw ang uban happy death day nalang ta sirrrr,-0.0516,0.173,0.164,0.664
happy death day mirip fall ga tapi versi horror movie,-0.5994,0.415,0.202,0.383
senin happy death day yuk,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
happy death day ada sesiapa nk tgk ke,-0.0516,0.287,0.272,0.441
lmaooooooooo knew choosing happy death day would wise decision,0.4404,0.234,0.407,0.359
pati happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
esok layan happy death day,-0.0516,0.368,0.349,0.283
watched happy death day actually liked,0.3818,0.291,0.485,0.224
someone say earlier babadook comes night suck later say loved happy death day,0.2023,0.291,0.325,0.385
happy death day thank today love u always,0.7579,0.225,0.601,0.173
happy death day yaysyas,-0.0516,0.406,0.385,0.208
happy death day actually really good liked,0.7245,0.231,0.591,0.178
ok wow happy death day,0.7003,0.267,0.664,0.068
watching happy death day osi rahmadita,-0.0516,0.336,0.319,0.345
neutral,0.0,0.0,0.0,1.0
happy death day ug geostorm plsss,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
watching happy death day alone else alone place full,-0.4939,0.476,0.223,0.301
quiz yang mau nonton film happy death day di cgv cinemas plus nyobain wahana di trans studio,-0.0516,0.173,0.164,0.664
favorite day,0.4588,0.0,0.75,0.25
going tonight happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
happy death day night,-0.0516,0.406,0.385,0.208
happy death day napod oyyy,-0.0516,0.368,0.349,0.283
watching happy death day gita,-0.0516,0.368,0.349,0.283
last oh tuhan cemana nak layan happy death day,-0.0516,0.267,0.253,0.479
happy death day,-0.0516,0.453,0.43,0.116
watching happy death day taufik,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
happy death day lit,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
happy death day movie came birthday,-0.0516,0.336,0.319,0.345
liked video happy death day movie review,0.3818,0.271,0.451,0.278
happy death day screen cinemas wp,0.2023,0.31,0.452,0.238
watched happy death day hehe,-0.0516,0.368,0.349,0.283
neutral,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
finally boutta go watch happy death day tonight,-0.0516,0.287,0.272,0.441
un video de la misma vida una otra happy death day,-0.0516,0.235,0.223,0.542
wait finally death,-0.5994,0.661,0.0,0.339
happy death day started,-0.0516,0.406,0.385,0.208
menonton happy death day di cinema xxl mall kota,-0.0516,0.267,0.253,0.479
rasa mcm takut nak tgk cite happy death day hahaha em,0.5267,0.203,0.38,0.417
malas ah tgk happy death day ramai kabo tak best,0.6124,0.207,0.42,0.372
nak tgok happy death day,-0.0516,0.368,0.349,0.283
happy death day groundhog day final destination aka shit,-0.5859,0.436,0.215,0.349
happy death day exactly,-0.0516,0.406,0.385,0.208
movie show live week review death happy death day brawl cell block,-0.7906,0.478,0.165,0.357
happy death day showing cinema tonight book cinema ticket meal offer,-0.0516,0.235,0.223,0.542
soooooo happy death day boring part repeating many times movie kan,-0.3612,0.346,0.207,0.447
movie show live week review death happy death day brawl cell block,-0.7906,0.478,0.165,0.357
happy death day,-0.0516,0.453,0.43,0.116
want watch happy death day,0.0258,0.358,0.459,0.183
jadi gw harus nonton happy death day atau nunggu thor,-0.0516,0.25,0.237,0.513
happy death day tas ghost bride say pwede kaiba mag sine hahaha char,0.2732,0.276,0.324,0.4
groundhog day slasher jealous happy death day,-0.4939,0.473,0.253,0.274
happy death day,-0.0516,0.453,0.43,0.116
mother shared birthday feel somewhat connected happy death day movie honestly imagine losing mom,0.3788,0.259,0.367,0.374
pumped watch tonight finally horror movie like look seem,-0.296,0.28,0.189,0.53
anyone want see happy death day assume seeing,0.0258,0.281,0.36,0.36
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
kawula muda yang mau diajakin nonton film happy death day kudu ikutan kuisnya jam,-0.0516,0.199,0.189,0.612
watching happy death day mask guy sooo fucking annoying af,-0.4927,0.392,0.21,0.398
happy death day official trailer theaters friday,-0.0516,0.31,0.294,0.397
want watch happy death day,0.0258,0.358,0.459,0.183
weh dah keluar ke happy death day tu,-0.0516,0.287,0.272,0.441
watching happy death day gladys,-0.0516,0.368,0.349,0.283
parang gusto ko panuodin yung,0.0,0.0,0.0,1.0
penge kasama happy death day,-0.0516,0.368,0.349,0.283
happy death day sooo gewd almost lost voice screaming,-0.5489,0.487,0.218,0.295
happy death day good,0.4019,0.339,0.574,0.087
huhu wanna watch happy death day,-0.0516,0.336,0.319,0.345
last day sem day,0.0,0.0,0.0,1.0
happy death day sa amin na mga nag wal wal ngayon,-0.4019,0.354,0.204,0.442
happy death day,-0.0516,0.453,0.43,0.116
happy death day issa,-0.0516,0.406,0.385,0.208
miss movie america everyone screaming showing get tickets,-0.4939,0.412,0.0,0.588
aku rasa nak tengok happy death day lagi sekali la sebab tadi tak nampak sari kata dia,-0.0516,0.173,0.164,0.664
friday tickets catch,0.0,0.0,0.0,1.0
great happy death day much love guys,0.8442,0.206,0.635,0.159
happy death day lacked somethinggg twas ok guessed killer right,-0.5106,0.408,0.294,0.299
hahahahahah iols baru je sudah tengok happy death day gi ah tengok,-0.0516,0.222,0.21,0.568
jigsaw happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
watching happy death day della,-0.0516,0.368,0.349,0.283
today first day rest life,0.0,0.0,0.0,1.0
groudhog slay horror movie today throw,-0.5719,0.425,0.0,0.575
lami og happy death day,-0.0516,0.368,0.349,0.283
today firstday rest life,0.0,0.0,0.0,1.0
happy death day screen cinemas kuala wp kuala,0.2023,0.267,0.39,0.342
watching happy death day ronald,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
bad genius next stop happy death day,-0.7096,0.589,0.227,0.184
tapi dia punya gore scene tu sedap gak tengok ending je cam siot sikit ahahah tengok happy death day lagi menyesal,-0.0516,0.147,0.139,0.714
happy death day x geostorm tmrw,-0.0516,0.368,0.349,0.283
rt moviegawd movie happy death day movie review,-0.0516,0.287,0.272,0.441
really want go see happy death day,0.101,0.296,0.401,0.303
watching happy death day anditia,-0.0516,0.368,0.349,0.283
watching happy death day brew,-0.0516,0.368,0.349,0.283
okay geostorm happy death day still watched blade runner ragnarok tuesday,0.1779,0.223,0.32,0.457
back reviewed contending tons,0.0,0.0,0.0,1.0
happy death day takdak la sangat hahaha,0.5267,0.257,0.48,0.263
nice happy death day,0.3818,0.342,0.57,0.088
happy death day,-0.0516,0.453,0.43,0.116
going try see happy death day ritual death stalin,-0.6249,0.446,0.211,0.343
happy death day da best,0.6124,0.283,0.572,0.145
really looking forward looks absolutely brilliant,0.624,0.0,0.45,0.55
originality died hollywood long time,-0.5574,0.474,0.0,0.526
happy death day good,0.4019,0.339,0.574,0.087
recommend happy death day sa manonood ng movie dyan haha yung mga mahilig sa suspense chaka mystery,0.6486,0.149,0.352,0.498
movie date watching happy death day,-0.0516,0.336,0.319,0.345
happy death day ringtone busy day birthday free na,0.4767,0.231,0.414,0.355
happy death day,-0.0516,0.453,0.43,0.116
choice snowman happy death day tonight would stay hide,-0.2263,0.366,0.242,0.392
happy death day fun little timeloop bit predictable places also funny jessica rothe,0.7184,0.171,0.434,0.395
watching movie mall,0.0,0.0,0.0,1.0
happy death day like hahahah,0.3182,0.322,0.512,0.165
yeah happy death day movie,0.25,0.331,0.5,0.169
staying vue islington happy death day left,-0.0516,0.31,0.294,0.397
need things japan get loved almost sold happy death day,0.5698,0.202,0.408,0.39
happy death day,-0.0516,0.453,0.43,0.116
saw succumbing charms,0.4404,0.0,0.592,0.408
happy death day,-0.0516,0.453,0.43,0.116
happy death day oxytoca turn yo brightness,0.34,0.275,0.444,0.282
ontem noite fui ver happy death day mano que filme repetitivo da porra,-0.0516,0.21,0.199,0.591
anyone seen,0.0,0.0,0.0,1.0
okay imma regular thing talk abt film watched yeaa spoilers happy death day coming urrr waayy,0.1779,0.173,0.249,0.578
nak tgok happy death day,-0.0516,0.368,0.349,0.283
reinvented final trope slasher,0.0,0.0,0.0,1.0
ayyyeeee two days ago friend watched happy death day,0.4588,0.232,0.411,0.357
watching happy death day cineplex,-0.0516,0.368,0.349,0.283
idk movie saw happy death day,-0.1531,0.442,0.308,0.25
neutral,0.0,0.0,0.0,1.0
happy death day goooooood,-0.0516,0.406,0.385,0.208
recommend film yang bagus di tonton bulan ini dong film happy death day seru dah,0.3182,0.176,0.281,0.543
yung yellow cab tas bad genius naging snr tas happy death day hahahahahhaha,-0.5719,0.351,0.175,0.474
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
gusto ko manuod bad genius tapos happy death day pero money,-0.5719,0.387,0.194,0.419
watching happy death day rizkapvr,-0.0516,0.368,0.349,0.283
aint even half movie already guessed killer happy death day,-0.6705,0.434,0.196,0.37
death day showing,-0.5994,0.661,0.0,0.339
happy death day,-0.0516,0.453,0.43,0.116
happy death day wait coming,-0.0516,0.368,0.349,0.283
today like happy death day except already know killer,-0.4588,0.423,0.32,0.258
back back cinema trip happy death day got,-0.0516,0.287,0.272,0.441
happy death day everyoneeeeee,-0.0516,0.406,0.385,0.208
happy death day flatliners,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
want watch happy death day,0.0258,0.358,0.459,0.183
day ends miss movie book,-0.1531,0.286,0.0,0.714
check review bear score,0.0,0.0,0.0,1.0
new thrills escape death,-0.1779,0.429,0.462,0.11
happy death day wovie cinemas,-0.0516,0.368,0.349,0.283
happy death day reaction naprapraning na ako kyah paulit,-0.0516,0.267,0.253,0.479
nak tengok happy death day,-0.0516,0.368,0.349,0.283
gusto ko manood happy death day huhuhuh,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
omg bapak best tu cerita happy death day,0.6124,0.232,0.47,0.298
bet ko happy death day,-0.0516,0.368,0.349,0.283
rate happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
gogogogo,0.0,0.0,0.0,1.0
btw maganda ang happy death day,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
best tak cerita happy death day,0.6124,0.264,0.534,0.203
happy death day seven sundays,-0.0516,0.368,0.349,0.283
happy death day twist dia fakk unexpected dia lawa nak mampus,-0.0516,0.235,0.223,0.542
happy death day wuzz goooodddd,-0.0516,0.368,0.349,0.283
teringat semalam punya kes g tengok wayang citer happy death day kena tahan time nak masuk tunjuk ic cissss,-0.0516,0.165,0.157,0.678
jom happy death day,-0.0516,0.406,0.385,0.208
happy death day fucking,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
ever seen movie hilarious yet sure need see better seen showing,0.7845,0.0,0.497,0.503
happy death day menceeitakan horror dan misteri yang bikin penasaran,-0.5994,0.415,0.202,0.383
happy death day bad genius,-0.5719,0.565,0.282,0.153
happy death day lit,-0.0516,0.406,0.385,0.208
going see happy death day seen,-0.0516,0.336,0.319,0.345
cinemas fri,0.0,0.0,0.0,1.0
naguess ko agad kung sino yung killer sa happy death day,-0.6705,0.412,0.186,0.402
profile new movie releases mountain us geostorm golmaal happy death day,-0.0516,0.235,0.223,0.542
happy death day,-0.0516,0.453,0.43,0.116
fun,0.5106,0.0,1.0,0.0
hahahahaha gonna watch happy death day,-0.0516,0.336,0.319,0.345
thankyousomuch atas tiket happy death day nya ya,-0.0516,0.287,0.272,0.441
planned seeing either happy death day good,0.4019,0.269,0.455,0.276
nu de,0.0,0.0,0.0,1.0
nak tengok happy death day,-0.0516,0.368,0.349,0.283
theres many movies cinema days see bc theres thor jigsaw also happy death day fml im broke,-0.4588,0.275,0.152,0.574
uk cinemas death happy death day go see let know,-0.6249,0.422,0.2,0.378
time watch happy death day,-0.0516,0.368,0.349,0.283
flick review happy death day,-0.0516,0.368,0.349,0.283
penge kasama manood ng happy death day,-0.0516,0.31,0.294,0.397
watching happy death day amanda,-0.0516,0.368,0.349,0.283
watch happy death day movie streaming quallity hd dday,-0.0516,0.267,0.253,0.479
happy death day scream queen jessica rothe kicks butt,-0.4404,0.405,0.227,0.368
birthdays less fun spend solving cinemas,0.6302,0.0,0.563,0.437
happy death day take since put simple yet twisted plots lots moral values,0.3612,0.192,0.315,0.493
weekend,0.0,0.0,0.0,1.0
lego kingsman happy death day,-0.0516,0.368,0.349,0.283
happy death day tok dh kedak edge tomorrow dh mati hidup balit hahahaha,-0.0516,0.21,0.199,0.591
happy death day lets see,-0.0516,0.368,0.349,0.283
kayaknya film happy death day,-0.0516,0.368,0.349,0.283
jg cerita happy death day ni,-0.0516,0.336,0.319,0.345
watching happy death day tengku imelda,-0.0516,0.336,0.319,0.345
nak tgk happy death day,-0.0516,0.368,0.349,0.283
watching happy death day tengku imelda,-0.0516,0.336,0.319,0.345
enge kasama manood ng happy death day puta,-0.0516,0.287,0.272,0.441
movies book tickets food,0.0,0.0,0.0,1.0
movies book tickets food,0.0,0.0,0.0,1.0
neutral,0.0,0.0,0.0,1.0
movies book tickets food,0.0,0.0,0.0,1.0
movies book tickets food,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
gusto kong manood ng happy death day,-0.0516,0.31,0.294,0.397
unlimited cinema card might give week miss given geostorm happy death day look less brilliant,0.4033,0.232,0.304,0.464
happy death day,-0.0516,0.453,0.43,0.116
finally happy death day today,-0.0516,0.368,0.349,0.283
liked video happy death day official trailer horror movie hd,-0.2732,0.378,0.323,0.299
jum bertgv happy death day,-0.0516,0.368,0.349,0.283
gusto ko lang naman ng kasama manood ng happy death day samahan niyo na ako pls,0.0258,0.178,0.228,0.594
weekend ini pilih nonton film apa,0.0,0.0,0.0,1.0
liked video happy death day official trailer theaters friday october,0.3818,0.224,0.374,0.402
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
people change,0.0,0.0,0.0,1.0
get live get,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
part happy death day christopher landon jessica israel broussard,-0.0516,0.267,0.253,0.479
hi happy death day blade runner showing gallery screens instead ollie,-0.0516,0.235,0.223,0.542
best dooo citer happy death day ni hahahahaha,0.6124,0.232,0.47,0.298
happy death day repeating unsolved mystery via,-0.0516,0.31,0.294,0.397
happy death day bad,-0.5719,0.612,0.306,0.083
happy death day,-0.0516,0.453,0.43,0.116
hits cinema today horror fan looks worth checking,-0.128,0.287,0.326,0.388
happy death day solid nice story kinda,0.4939,0.26,0.54,0.2
bad genius happy death day,-0.5719,0.565,0.282,0.153
ontem eu assisti happy death day,-0.0516,0.336,0.319,0.345
first cut cinemas,-0.2732,0.512,0.0,0.488
happy death day via,-0.0516,0.406,0.385,0.208
pengabdi setan happy death day,-0.0516,0.368,0.349,0.283
watching happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
happy death day good slasher,0.4019,0.312,0.528,0.16
happy death day best tak,0.6124,0.283,0.572,0.145
imagine spending birthday solving today,0.34,0.0,0.375,0.625
sedang tayang di pesan tiketnya,0.0,0.0,0.0,1.0
fakta menarik israel cowok ganteng pemeran happy death day,-0.0516,0.267,0.253,0.479
new trend horrors make u cry ie watched happy death day emotional abt,-0.7506,0.465,0.23,0.304
got spend whole day beautiful girl hbd went movies happy death day new madea boo great day,0.8316,0.136,0.409,0.455
neutral,0.0,0.0,0.0,1.0
happy death day itu film thriller yg ga perlu mikir fun,0.5423,0.202,0.435,0.363
box happy death day wins weekend boffo debut forbes,0.5423,0.225,0.428,0.347
happy death day everyone,-0.0516,0.406,0.385,0.208
looking forward three happy death day also cinematic,-0.0516,0.287,0.272,0.441
pag mana nani showing sa happy death day tanawon jud nako dayun,-0.0516,0.222,0.21,0.568
rasa rugi tgok cite happy death day asyik tgok scene sama,-0.0516,0.235,0.223,0.542
happy death day,-0.0516,0.453,0.43,0.116
happy death day primer lugar en las taquillas de estados unidos,-0.0516,0.235,0.223,0.542
sino na nakanood ng happy death day,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
coming reviews,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
sekarang juga udah tayang dibioskop pengabdi setan sampai sekarang masih aku aja selasa mau nonton happy death day,-0.0516,0.165,0.157,0.678
movie watching happy death day dumaresq street cinema,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
end,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
happy death day muito bem aquele filme teen de terror amei demais bicho,-0.5574,0.348,0.176,0.476
happy death day total mindfuck,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
happy death day geostorm,-0.0516,0.406,0.385,0.208
happy death day menurut kritikus,-0.0516,0.368,0.349,0.283
jgh sm happy death day also bought nail clippers children,-0.0516,0.25,0.237,0.513
happy death day scream queen jessica rothe kicks butt,-0.4404,0.405,0.227,0.368
happy death day,-0.0516,0.453,0.43,0.116
happy death day scream queen jessica rothe kicks butt,-0.4404,0.405,0.227,0.368
pengen nonton happy death day,-0.0516,0.368,0.349,0.283
tree basically said nothing better person,-0.3412,0.325,0.0,0.675
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
emng happy death day udah kapan akoh udah nonton trailernyaaa wkwk,-0.0516,0.235,0.223,0.542
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
nak search review pasal movie happy death day terjumpa spoiler bodohnya,-0.0516,0.235,0.223,0.542
happy death day,-0.0516,0.453,0.43,0.116
happy death day kalo pengabdi setan tunggu,-0.0516,0.31,0.294,0.397
watching happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
uk cinemas happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
wish good enough heart,0.6808,0.0,0.737,0.263
mending happy death day sih soalnya itu sinopsisnya bagus bgt,-0.0516,0.25,0.237,0.513
happy death day,-0.0516,0.453,0.43,0.116
lantaw ta happy death day huhu,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
menggabungan konsep time loop yang seru dan slasher remaja yang asik sekaligus,0.0,0.0,0.0,1.0
looking fright recommends horror happy death day,-0.6808,0.573,0.315,0.112
happy death day,-0.0516,0.453,0.43,0.116
happy death day best ni,0.6124,0.283,0.572,0.145
happy death day best,0.6124,0.305,0.617,0.078
another reason good special way put deep meaningful moments well moral,0.8402,0.0,0.588,0.412
happy death day,-0.0516,0.453,0.43,0.116
jessica rothe incredible tree love carter sweetest ever stop gushing cuteness,0.743,0.124,0.424,0.452
tak sempat nak tengok tengok happy death day ja,-0.0516,0.267,0.253,0.479
happy death day bad actually,-0.5719,0.565,0.282,0.153
eto g na hahaha,0.5574,0.0,0.643,0.357
happy death day teman aku ana,-0.0516,0.336,0.319,0.345
watch happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
watching happy death day c g v velvet cinemas,-0.0516,0.336,0.319,0.345
worth happy death day,0.1779,0.371,0.533,0.095
happy death day fun thriller dengan banyak plot twist,0.5423,0.225,0.486,0.289
mau nonton happy death day,-0.0516,0.368,0.349,0.283
saw last night loved perfect halloween movie crazy fun jump entertaining plot,0.9081,0.103,0.595,0.302
za w,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
happy death day time kuala wp kuala,0.2023,0.287,0.419,0.294
escape room happy death day pun sama,0.128,0.293,0.406,0.301
theresa dalam happy death day lawak lol,0.3818,0.271,0.451,0.278
freak weekend hoyts,-0.4404,0.592,0.0,0.408
happy death day sedang tayang di,-0.0516,0.336,0.319,0.345
dear self,0.3818,0.0,0.722,0.278
excited see happy death day weekennnnd,0.296,0.3,0.469,0.231
friday movie schedule happy death day rated,-0.0516,0.31,0.294,0.397
want watch happy death day baddd ughhh,0.0258,0.302,0.388,0.31
happy death day,-0.0516,0.453,0.43,0.116
christopher director happy death day michael mind talented,0.4767,0.245,0.44,0.314
mau nonton geostorm sama happy death day,-0.0516,0.31,0.294,0.397
happy death day uk cinemas read review,-0.0516,0.31,0.294,0.397
thought cerita happy death day tu oh scare,-0.5267,0.449,0.234,0.316
watched happy death day,-0.0516,0.406,0.385,0.208
worth,0.2263,0.0,1.0,0.0
came back say good watch happy death day friends hehe fun,0.8442,0.17,0.568,0.262
hi visit latest,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
happy death day bitches,-0.6249,0.624,0.296,0.08
bukan nak cakap apalah tapi happy death day tu best dia mampoe lah buat aku terkejut sampai bukan selalu,0.6124,0.14,0.284,0.576
happy death day,-0.0516,0.453,0.43,0.116
sana happy death day panoodin namin,-0.0516,0.336,0.319,0.345
happy death day banyak scene kelakar,-0.0516,0.336,0.319,0.345
liked video happy death day bestie movie car vlog,0.3818,0.238,0.396,0.366
gusto ko manood ng happy death day,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
excited see happy death day,0.296,0.325,0.508,0.167
happy death day errr,-0.0516,0.406,0.385,0.208
happy death day jommmmmm,-0.0516,0.406,0.385,0.208
sebenarnya sy tkut tgok ni tp org sblh sy excited,0.34,0.0,0.211,0.789
liked video happy death day bestie movie car vlog,0.3818,0.238,0.396,0.366
weekend box happy death day another win horror hollywood reporter,-0.0258,0.36,0.355,0.284
tg happy death day,-0.0516,0.406,0.385,0.208
geostorm atau happy death day,-0.0516,0.368,0.349,0.283
wanna go movies see happy death day,-0.0516,0.31,0.294,0.397
prolonged br review happy death day seems little,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
sumpah film happy death day super duper keren seru kalian dan kudu harus nonton,0.5719,0.173,0.338,0.489
happy death day bitch,-0.6124,0.621,0.298,0.081
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
happy death day cinemas,-0.0516,0.406,0.385,0.208
watched happy death day,-0.0516,0.406,0.385,0.208
happy death day lets seee gewd one,-0.0516,0.31,0.294,0.397
happy death day screen cinemas,-0.0516,0.368,0.349,0.283
macam best jaa cerita happy death day,0.6124,0.247,0.5,0.253
losing keys scaring happy death day holy shit panicked lol,-0.8591,0.627,0.255,0.118
happy death day official trailer thai sub via,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
ok happy death day good,0.5994,0.285,0.642,0.073
check review happy death day,-0.0516,0.368,0.349,0.283
happy death day saken,-0.0516,0.406,0.385,0.208
life fucked dj cross version happy death day hog,-0.6808,0.461,0.206,0.333
happy death day tu bukan seram pembunuhan paling bodoh haha,0.4215,0.222,0.381,0.398
done bad genius happy death day,-0.5719,0.525,0.262,0.213
wanna watch happy death day,-0.0516,0.368,0.349,0.283
hi watched happy death day good,0.4019,0.289,0.489,0.222
happy death day good,0.4019,0.339,0.574,0.087
watching happy death day,-0.0516,0.406,0.385,0.208
box happy death day wins weekend boffo debut forbes,0.5423,0.225,0.428,0.347
happy death day festival supermall muntinlupa metro,0.4588,0.264,0.466,0.27
list movie wajib tgk nnti balik happy death day happy death day happy death day,-0.1531,0.368,0.349,0.283
weekend could tight ninjago dropping blade runner happy death day opening claiming,-0.0516,0.222,0.21,0.568
nak tengok happy death day lagi huhuhu,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
anyway lupa nak ckp cerita happy death day bagi,-0.0516,0.267,0.253,0.479
happy death day really really,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
happy death day sedang tayang di,-0.0516,0.336,0.319,0.345
happy death day cinemas kuala,-0.0516,0.368,0.349,0.283
carter cute guy,0.4588,0.0,0.6,0.4
happy death day date,-0.0516,0.406,0.385,0.208
must happy death day pretty good,0.7096,0.248,0.624,0.127
fun flick meets lots surprises strong performance,0.8176,0.0,0.68,0.32
happy death day pa,-0.0516,0.406,0.385,0.208
happy death day surprisingly good fun half romcom flick life,0.802,0.186,0.576,0.238
hope weh happy death day tu best ke tak,0.7845,0.198,0.548,0.254
universal blumhouse another success happy death day million box office,0.5423,0.213,0.404,0.383
prank kawan guna mask happy death day,-0.0516,0.31,0.294,0.397
watching happy death day allya salsa,-0.0516,0.336,0.319,0.345
young audiences flock happy death day,-0.0516,0.336,0.319,0.345
gago happy death day hahaha,0.5267,0.295,0.553,0.152
happy death day,-0.0516,0.453,0.43,0.116
happy death day bevs tonight wi bae,-0.0516,0.31,0.294,0.397
feldman flicks happy death day boringly repetitive horror flick applies reliving hours,-0.7096,0.451,0.174,0.376
happy death day nice story dont expect killer,0.722,0.219,0.557,0.224
happy death day plot twist teroks haha,0.4215,0.267,0.459,0.274
ao filme happy death day de,-0.0516,0.336,0.319,0.345
escape happy death day,0.128,0.379,0.524,0.097
happy death day,-0.0516,0.453,0.43,0.116
happy death day strange,-0.25,0.548,0.356,0.096
sa may kautangan sa friendship bayad na mo kay need money happy death day must,0.4019,0.173,0.293,0.533
happydeathday,0.0,0.0,0.0,1.0
fck libreha ko ninyo happy death day promise libre hug aww bawal diay ops,0.6369,0.17,0.396,0.435
give happy death day israel broussard fucking charming,0.5984,0.234,0.467,0.3
tengok happy death day best lagi dua tak tengok,0.6124,0.219,0.444,0.337
happy death day like,0.3182,0.351,0.559,0.09
antara happy death day escape room mana yg paling please suggest,0.4215,0.21,0.414,0.376
got distracted lil bit quite boring hahaha watch happy death day,-0.081,0.396,0.337,0.267
mans mans asked see happy death day w bff crush literally scared horror movies,-0.5423,0.453,0.285,0.262
happy death day stupid ass movie,-0.7964,0.655,0.224,0.121
cinemas book,0.0,0.0,0.0,1.0
watching happy death day fauziah,-0.0516,0.368,0.349,0.283
happy death day pun best la la tngok,0.6124,0.232,0.47,0.298
okay happy death day good,0.5574,0.291,0.634,0.075
quote pemuda cakep ngga usah maksa dating ce,0.0,0.0,0.0,1.0
happy death day ni aku kasi,-0.0516,0.336,0.319,0.345
happy death day like high quality b movie n complaining lmao,0.6597,0.288,0.51,0.202
