username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mikeprz81;2017-10-13 10:13;0;0;"Happy Death Day #resist #Obamacare #ItWasNiceGoingToTheDoctorWhileICould https://www. nbcnews.com/politics/polit ics-news/white-house-says-it-will-end-key-obamacare-subsidies-insurers-n810321 …";;;#resist #Obamacare #ItWasNiceGoingToTheDoctorWhileICould;"918842187328212992";https://twitter.com/mikeprz81/status/918842187328212992
zacdeemer;2017-10-13 10:13;0;3;"happy death day #FridayThe13th";;;#FridayThe13th;"918842160685907968";https://twitter.com/zacdeemer/status/918842160685907968
MaackenzieLeigh;2017-10-13 10:13;1;8;"Lowkey wanna see Happy Death Day";;;;"918842133955485696";https://twitter.com/MaackenzieLeigh/status/918842133955485696
hoodiedolans;2017-10-13 10:13;0;11;"i wanna go see happy death day this weekend";;;;"918842123411009537";https://twitter.com/hoodiedolans/status/918842123411009537
savtrader;2017-10-13 10:13;0;2;"Happy Death Day tonight!";;;;"918842057489338368";https://twitter.com/savtrader/status/918842057489338368
Broken_Dreamz11;2017-10-13 10:12;0;0;"I'm only Happy because Happy Death Day";;;;"918841994650173441";https://twitter.com/Broken_Dreamz11/status/918841994650173441
_ktewkutee;2017-10-13 10:12;0;0;"Definitely have to go to the movies to see happy death day";;;;"918841928262696962";https://twitter.com/_ktewkutee/status/918841928262696962
NoSignalbruh;2017-10-13 10:12;0;3;"Happy Death Day #FridayThe13th";;;#FridayThe13th;"918841846402445312";https://twitter.com/NoSignalbruh/status/918841846402445312
lidaa_mariee;2017-10-13 10:12;2;4;"I know happy death day looks corny , but I wanna see it idc";;;;"918841831223279617";https://twitter.com/lidaa_mariee/status/918841831223279617
zoejournalist;2017-10-13 10:12;0;0;"It's Friday the 13th! Check out today's box office release of " Happy Death Day " this weekend- looks like it'll be a mix of comedy and horror";;;;"918841802311991296";https://twitter.com/zoejournalist/status/918841802311991296
Nashtopia;2017-10-13 10:12;0;0;"I liked a @YouTube video http:// youtu.be/SfoF8l41rhQ?a Happy Death Day - Movie Review";;@YouTube;;"918841784855334912";https://twitter.com/Nashtopia/status/918841784855334912
alterianinc;2017-10-13 10:12;0;1;"Today's the day: HAPPY DEATH DAY !! (The Movie) pretty fun -and funny! #horror #movie #Halloween … https://www. instagram.com/p/BaMOt40g-SH/";;;#horror #movie #Halloween;"918841764709933056";https://twitter.com/alterianinc/status/918841764709933056
Matt_ray21;2017-10-13 10:11;0;2;"Happy Death Day Was ok the ending shocked tf outta me";;;;"918841716924227587";https://twitter.com/Matt_ray21/status/918841716924227587
kalenat19;2017-10-13 10:11;0;2;"I wanna go see happy death day . That movie hella Trippy";;;;"918841704156770304";https://twitter.com/kalenat19/status/918841704156770304
danlybarger;2017-10-13 10:11;0;1;"#HappyDeathDay has the repetition of "Groundhog Day" but no wit or chills. My @ArkansasOnline review: http://www. arkansasonline.com/news/2017/oct/ 13/happy-death-day-20171013/?f=entertainment-movies …";;@ArkansasOnline;#HappyDeathDay;"918841629053739008";https://twitter.com/danlybarger/status/918841629053739008
tropical_nandii;2017-10-13 10:11;3;3;"I'm so thirsty to go see " happy death day "";;;;"918841594777948160";https://twitter.com/tropical_nandii/status/918841594777948160
metronewyork;2017-10-13 10:11;1;0;"‘ Happy Death Day ’ isn’t that scary, but it is still a Friday the 13th treat http:// bit.ly/2gg6b55 pic.twitter.com/ZmWA9ks4bk";;;;"918841571306598400";https://twitter.com/metronewyork/status/918841571306598400
The_Wild_Line;2017-10-13 10:11;0;0;"Weekend Preview Episode up! #HappyDeathDay 22.5M #TheForeigner 8m https:// soundcloud.com/the-wild-line- podcast/weekend-box-office-preview-10 …";;;#HappyDeathDay #TheForeigner;"918841550922223616";https://twitter.com/The_Wild_Line/status/918841550922223616
GretchenRix;2017-10-13 10:11;0;0;"Anyone else going out to see Happy Death Day on Friday the 13th?";;;;"918841537303162882";https://twitter.com/GretchenRix/status/918841537303162882
xDRUMMERBOII;2017-10-13 10:11;0;0;"Happy death day my friend!";;;;"918841532685471744";https://twitter.com/xDRUMMERBOII/status/918841532685471744
KevinTHarding;2017-10-13 10:10;0;0;"HAPPY DEATH DAY COMES OUT TODAY! Aweeee man";;;;"918841500393492480";https://twitter.com/KevinTHarding/status/918841500393492480
LaniaDestiny;2017-10-13 10:10;0;0;"I wanna go see Happy Death Day";;;;"918841353492148227";https://twitter.com/LaniaDestiny/status/918841353492148227
AvaSloan2502;2017-10-13 10:10;0;0;"Who is going to see " Happy Death Day " this weekend?";;;;"918841268007993344";https://twitter.com/AvaSloan2502/status/918841268007993344
TheRealLeslie_;2017-10-13 10:09;5;7;"i'm just trynna go see happy death day .";;;;"918841234361389057";https://twitter.com/TheRealLeslie_/status/918841234361389057
SexyBabys2014;2017-10-13 10:09;0;0;"#hot - Friday The 13th Tattoos - Eagles - Ezekiel Elliott - Happy Death Day - bitcoin - Friday the 13th - Unesco…";;;#hot;"918841198663659520";https://twitter.com/SexyBabys2014/status/918841198663659520
lmayorgas;2017-10-13 10:09;0;2;"Creo que ha sido, si no la mejor, si la más divertida que llevo vista hasta ahora. #HappyDeathDay #Sitges50";;;#HappyDeathDay #Sitges50;"918841103335518208";https://twitter.com/lmayorgas/status/918841103335518208
BrittKnowsBestt;2017-10-13 10:09;0;0;"Think I'm gonna go see Happy Death Day tonight.";;;;"918841085874589696";https://twitter.com/BrittKnowsBestt/status/918841085874589696
GORGeouslegna;2017-10-13 10:09;0;2;"Happy death day";;;;"918841038139092993";https://twitter.com/GORGeouslegna/status/918841038139092993
raymondvirata;2017-10-13 10:09;0;1;"@clarkewolfe @ReillyAround @PNemiroff @JoshMacuga Happy Friday the 13th before Halloween! Happy Death Day is showing!";;@clarkewolfe @ReillyAround @PNemiroff @JoshMacuga;;"918841016777457674";https://twitter.com/raymondvirata/status/918841016777457674
lynnp_krys;2017-10-13 10:08;0;0;"Go see Happy Death Day ! It was good!";;;;"918840931817787392";https://twitter.com/lynnp_krys/status/918840931817787392
ergo_shop;2017-10-13 10:08;0;0;"happy death day http:// shopblogs.net/ergo/b/1171339/ pic.twitter.com/ieMYGwc1ER";;;;"918840874166923264";https://twitter.com/ergo_shop/status/918840874166923264
MaxBrecher;2017-10-13 10:08;0;1;"With the title #HappyDeathDay I said “what a terrible title this is gonna be a joke” but reviews surprised me... I’ll give it a try";;;#HappyDeathDay;"918840761059180544";https://twitter.com/MaxBrecher/status/918840761059180544
Jerzzey_Finest;2017-10-13 10:07;0;1;"Happy death day looks so wack";;;;"918840654553370624";https://twitter.com/Jerzzey_Finest/status/918840654553370624
AKAredstar;2017-10-13 10:07;0;1;"Friday the 13th #FridayThe13th #HappyDeathDay";;;#FridayThe13th #HappyDeathDay;"918840647989149696";https://twitter.com/AKAredstar/status/918840647989149696
PremierPopC;2017-10-13 10:07;0;0;"‘ Happy Death Day ’ Director Had Just 2 Days to Shoot Key Scene Over and Over http:// ift.tt/2z5SnOD";;;;"918840540564738049";https://twitter.com/PremierPopC/status/918840540564738049
Ryan3017King;2017-10-13 10:06;0;7;"Who's tryna go to Happy Death Day";;;;"918840405554208769";https://twitter.com/Ryan3017King/status/918840405554208769
_dvad_;2017-10-13 10:06;0;0;"Happy death day looks like a movie for people who think talking about aliens is deep";;;;"918840402144301056";https://twitter.com/_dvad_/status/918840402144301056
Haloopa;2017-10-13 10:06;0;0;"I don't know how in the hell " Happy Death Day " has a 68% on rotten tomatoes.. that movie was absolute ass. I... http:// fb.me/3g2BDMDou";;;;"918840364558979072";https://twitter.com/Haloopa/status/918840364558979072
cuminside_ana;2017-10-13 10:06;0;0;"Because today’s a kind of day #HappyFridayThe13th #HappyDeathDay #movienight";;;#HappyFridayThe13th #HappyDeathDay #movienight;"918840273534365696";https://twitter.com/cuminside_ana/status/918840273534365696
